"name","group","element","units","context","S41283","S41284","S41285","S41286","S41287","S41288","S41289","S41290","S41291","S41292","S41293","S41294","S41295","S41296","S41297","S41298","S41299","S41300","S41301","S41302","S41303","S41304","S41305","S41306","S41307","S41308"
Ambrosia,UPHE,pollen,NISP,,10,6,6,6,2,4,2,2,3,2,8,5,2,6,4,8,12,6,5,16,7,7,15,3,9,11
Amelanchier,TRSH,pollen,NISP,,,2,1,4,2,3,,,1,2,,,,,,,,,,,,,,,,
Amorpha,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,2,,,,,,,,,,,,,,,1,,,,,,,
Arceuthobium,TRSH,pollen,NISP,,,,,2,2,,,1,2,1,1,,1,1,1,,,,,,2,,,,,
Artemisia,UPHE,pollen,NISP,,4,8,8,,4,3,5,5,,3,15,19,18,9,23,23,46,34,41,34,15,31,24,49,13,41
Asteraceae undiff.,UPHE,pollen,NISP,,9,8,36,28,9,7,4,7,18,15,1,1,8,1,1,2,4,2,4,5,3,4,,3,3,1
Author's pollen sum,LABO,,NISP,,300,309,307,328,208,303,301,302,304,305,258,300,239,262,233,274,300,301,300,324,300,342,300,303,321,302
Betula,TRSH,pollen,NISP,,,2,3,,,13,3,,,2,3,6,2,14,23,6,21,16,9,20,17,10,8,18,9,5
Bidens-type,UPHE,pollen,NISP,,,,,,,,,,,,,,2,1,1,2,,3,2,,4,,4,,,3
Botryococcus,ALGA,colony,NISP,,22,18,,,1,,,,,,2,1,4,1,2,,5,1,5,,,,1,,,5
Brassicaceae,UPHE,pollen,NISP,,3,,,,,,1,,,,,,,,,,,2,1,2,1,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,,,1,,,,,,1,,,,1,1,2,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,
Cercocarpus/Purshia,TRSH,pollen,NISP,,,,,,,,2,,,,1,,,2,,2,1,4,4,2,2,1,2,4,1,5
Cichorioideae,UPHE,pollen,NISP,,1,2,6,,,,,4,1,,,,,,,,,4,,,,,,,,
Corylus,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,2,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,13,16,14,24,5,10,14,10,20,15,2,2,6,1,,2,4,6,6,3,2,1,7,2,3,3
Dalea,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra,TRSH,pollen,NISP,,4,8,1,6,6,1,4,,5,2,,,1,,,,,,,,,,1,1,1,1
Equisetum,VACR,spore,NISP,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,,,,2,,,,,1,,,,,,,,,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,,,1,2,,3,,,3,,,,,,,,,,,,,,,,1,
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Fraxinus,TRSH,pollen,NISP,,,,,,,,,,,,,1,1,2,,,1,,1,2,,1,1,1,,1
Geranium,UPHE,pollen,NISP,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,27,14,19,32,48,16,13,20,23,21,6,4,8,8,10,4,26,6,25,10,18,13,10,7,20,9
Juniperus,TRSH,pollen,NISP,,15,10,3,2,4,10,16,8,17,6,2,4,6,5,2,6,9,18,9,10,3,2,3,16,1,11
Liliaceae,UPHE,pollen,NISP,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,1136,1426,592,214,159,219,230,175,601,683,14,9,6,8,6,15,10,26,25,23,9,7,7,22,7,4
Lycopodium tablets,LABO,concentration,grains/tablet,,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077
Lycopodium tablets,LABO,quantity added,number,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lythrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,3,,,,
Menyanthes trifoliata,AQVP,pollen,NISP,,,,1,,,,1,,6,,,,,1,,1,,2,,2,1,,2,1,,
Myrica/Comptonia peregrina,TRSH,pollen,NISP,,,,,,,,,,,,1,1,2,2,,,2,,,,3,1,,,,
Myriophyllum,AQVP,pollen,NISP,,168,118,12,,,,,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Ostrya/Carpinus,TRSH,pollen,NISP,,,,,,,2,,,,3,,,,,2,1,,,,,,,,,,
Pediastrum,ALGA,colony,NISP,,40,34,1,,,,,,,,,2,,,,,,,,,,,1,1,,
Picea,TRSH,pollen,NISP,,13,19,24,18,6,10,29,11,11,12,16,10,5,18,7,17,17,23,22,9,22,36,8,16,9,12
Pinus aristata-type,TRSH,pollen,NISP,,12,30,3,2,3,25,7,8,7,11,1,1,,1,,,1,1,,,,,,,,
Pinus edulis-type,TRSH,pollen,NISP,,9,4,24,8,,8,10,10,10,27,8,8,9,5,6,10,7,10,8,11,5,3,13,10,12,8
Pinus flexilis-type,TRSH,pollen,NISP,,36,46,12,2,1,20,25,6,5,14,8,14,10,6,5,11,6,16,7,6,3,3,6,6,4,2
Pinus ponderosa-type,TRSH,pollen,NISP,,33,44,9,6,,3,4,1,1,3,16,34,26,18,13,11,18,17,21,19,15,15,17,16,13,6
Pinus undiff.,TRSH,pollen,NISP,,120,84,108,130,89,148,153,193,107,130,143,152,123,156,126,110,101,120,105,130,181,176,128,110,178,141
Poaceae,UPHE,pollen,NISP,,4,6,5,2,1,6,1,2,9,,5,7,8,8,10,11,26,13,16,9,10,9,20,20,9,5
Polypodiophyta,VACR,spore,NISP,,4,,1,6,4,1,,2,,3,,,1,1,,,,,,,,,1,,3,
Populus,TRSH,pollen,NISP,,4,18,14,2,3,3,7,8,4,6,1,7,6,1,,1,4,2,2,3,1,,3,3,1,1
Potamogetonaceae,AQVP,pollen,NISP,,15,12,,,,4,,,,2,,,1,,,,1,,,,,,2,,,
Potentilla,UPHE,pollen,NISP,,3,,3,4,4,1,,1,,10,,,,,,,2,,1,,,3,1,1,3,3
Prunus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,2,6,,,,,,,4
Pseudotsuga,TRSH,pollen,NISP,,7,6,5,8,7,5,7,11,12,13,1,5,1,4,3,6,2,3,2,2,3,4,4,4,4,1
Quercus,TRSH,pollen,NISP,,4,6,5,,3,1,5,3,3,8,1,2,3,1,2,4,3,2,3,4,1,3,2,4,1,6
Ranunculus,UPHE,pollen,NISP,,,2,,,,,,,5,1,,,,1,,,1,,,,1,,,,,
Rhamnus,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,
Rosa,TRSH,pollen,NISP,,3,2,3,16,22,,10,,5,,,,,,,,,,,,,,,1,,1
Rosaceae undiff.,UPHE,pollen,NISP,,,,8,12,8,,,2,3,,,,,,,,1,,1,,,1,,,,
Rumex,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Salix,TRSH,pollen,NISP,,10,4,9,,35,29,18,4,3,7,2,2,2,3,2,4,9,6,3,2,,3,9,3,1,2
Salsola,UPHE,pollen,NISP,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,
Sambucus,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,2,,,2,,,,,,
Sample quantity,LABO,volume,ml,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sarcobatus vermiculatus,TRSH,pollen,NISP,,4,4,,2,,,2,,2,3,,1,,,,,1,2,,,,,,1,1,2
Saxifraga,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Shepherdia,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Sporormiella,FUNG,spore,NISP,,,,,2,,,,,,3,,,1,,,,,,,1,,1,,,,2
Thalictrum,UPHE,pollen,NISP,,,,,,,,,1,4,2,1,1,,,1,3,,3,2,,1,,,,1,
Typha latifolia,AQVP,pollen,NISP,,,3,1,4,,,,,1,,,,,2,,1,1,1,2,,4,1,1,1,,
Typha/Sparganium undiff.,AQVP,pollen,NISP,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,3,2,,4,6,,,1,2,,1,,,,,,1,4,2,1,,,,,,
Urtica,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,2,,,,,,,,
