"name","group","element","units","context","S35438","S35439","S35440","S35441","S35442","S35443","S35444","S35445","S35446","S35447","S35448","S35449","S35450","S35451","S35452","S35453","S35454","S35455","S35456","S35457","S35458","S35459","S35460","S35461","S35462","S35463","S35464","S35465","S35466","S35467","S35468","S35469","S35470","S35471","S35472","S35473","S35474","S35475","S35476","S35477","S35478","S35479","S35480","S35481","S35482","S35483","S35484","S35485","S35486","S35487","S35488","S35489","S35490","S35491","S35492","S35493","S35494","S35495","S35496","S35497","S35498","S35499","S35500","S35501","S35502","S35503","S35504","S35505","S35506","S35507"
Apiaceae,UPHE,pollen,NISP,,3,5,3,,,3,,5,,2,2,8,52,20,10,27,7,1,6,10,5,,2,5,6,1,12,2,,13,13,8,21,33,72,25,17,2,,,,,,,3,3,1,2,11,3,6,123,1,,49,154,67,46,118,42,14,48,73,33,,8,5,16,9,
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,4,11,3,3,5,11,16,17,13,10,8,16,,16,6,9,7,5,16,8,11,16,10,17,7,5,12,5,4,10,6,8,11,11,13,13,8,15,9,3,4,10,,24,20,7,4,14,37,31,18,38,25,15,31,26,31,22,17,11,18,14,10,17,18,22,16,21,12,15
Asteroideae undiff.,UPHE,pollen,NISP,,30,35,33,21,12,32,14,31,19,12,24,10,24,38,34,35,15,23,31,20,20,21,21,16,25,11,15,17,16,16,4,19,23,8,25,21,23,18,12,8,10,8,8,14,20,10,19,14,20,13,14,26,8,12,14,26,8,15,11,9,8,10,5,16,8,11,6,5,12,6
Betula,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,1,,2,,,,,,1,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,1,2,,,2,1,,1,1,,,,,,,,2,,1,,,,,1,,1,2,2,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,,,,1,1
Canotia,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceanothus,TRSH,pollen,NISP,,,,2,5,4,,3,1,,1,1,,3,,2,1,1,,3,1,,,1,,7,1,1,,2,1,2,,,1,1,1,1,,,,,,,3,4,3,,,3,,1,9,,3,22,3,,,,,5,2,,4,1,4,2,2,,
Celtis,TRSH,pollen,NISP,,,1,,,,1,1,,,,,,1,,,4,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,1,,,1,2,,,,1,,,,,,,,,1,,,,,
Cercocarpus,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,2,1,1,,2,,,4,,,,3,,,,,,,,,,,,,,1,1,2,1,3,,,,,,,,,2,,,,1,,,,4,,
Cichorioideae,UPHE,pollen,NISP,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,
Cirsium,UPHE,pollen,NISP,,,4,1,,,,1,3,,,,,1,,,1,,,,6,,1,,,2,,,,4,,2,,,4,,,2,,,,,,,,,2,,,,,1,,,,,2,,,,,,,,,2,,,,,
Cyperaceae,UPHE,pollen,NISP,,46,15,8,26,65,18,4,4,29,9,12,22,76,29,17,71,30,29,88,85,24,20,2,22,84,101,50,39,64,26,13,29,17,14,7,27,34,209,355,943,271,1393,877,143,408,153,307,125,91,48,68,11,96,59,5,,,2,1,,9,2,2,2,3,1,2,4,1,
Dalea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra,TRSH,pollen,NISP,,2,,2,3,2,1,5,1,1,1,3,3,2,4,14,11,4,18,3,17,18,25,3,7,11,8,1,6,8,1,5,6,5,15,2,8,2,2,4,1,2,,,,1,,,,,,,1,,1,,1,,,,,2,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,1,,1,,,,,2,,1,,,,,1,3,,,,,,,,1,2,1,,,2,,2,2,,,,,,,,,,9,,1,,,,,,,,,,,,,,,1,,,,,2,,,,1,1,
Euphorbia,UPHE,pollen,NISP,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,4,1,,1,,1,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,
Fouquieria,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,8,,5,18,20,3,12,7,4,27,2,,24,8,14,2,18,4,4,13,6,12,13,7,158,7,10,21,40,2,4,4,5,5,10,31,55,2,,,,,,6,,1,2,3,3,1,1,5,,3,5,4,1,4,7,10,6,12,27,21,27,43,80,40,30,6
Fungi undiff.,FUNG,spore,NISP,,172,366,143,121,516,255,471,343,160,300,297,249,103,1532,909,1790,1821,818,1120,357,227,1049,105,238,32000,1926,3569,761,506,1925,215,777,265,290,582,344,519,1424,53,692,942,3064,1904,881,148,1499,493,66,109,4876,151,36,382,144,223,132,82,49,60,291,57,29,22,8,27,7,27,81,49,9
Garrya,TRSH,pollen,NISP,,,,,,,,,2,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,5,,,,2,,2,3,1,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrophyllaceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,3,11,7,13,17,10,16,6,7,1,3,12,18,4,1,14,2,8,8,9,6,5,4,5,25,6,7,11,8,4,6,9,6,18,9,5,11,10,15,5,1,3,20,2,2,13,7,17,19,28,15,12,16,23,2,13,5,5,3,2,17,1,1,1,12,2,1,,1,7
Juglans,TRSH,pollen,NISP,,3,3,2,,1,,1,,,1,,1,,,,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,2,,2,2,,2,3,4,,8,5,3,2,1,4,,1,2,,,1,
Juniperus,TRSH,pollen,NISP,,120,102,128,105,69,68,39,81,72,65,96,69,42,31,38,32,41,12,64,39,49,52,37,16,29,10,6,8,24,18,19,11,39,46,48,76,27,24,53,49,19,50,71,83,104,57,80,121,104,107,95,142,118,75,115,99,97,102,134,167,92,166,184,179,110,146,179,191,154,159
Kallstroemia,UPHE,pollen,NISP,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,,9,,4,,,1,1,,,,1,,1,,,,,,,2,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,1,,1
Larrea,TRSH,pollen,NISP,,8,9,3,,5,,,1,5,,2,3,8,,,,,3,1,,4,6,,,,,,,,,1,,1,1,1,,1,1,2,,,,,,,,,1,4,,,5,,4,,1,,2,,,,,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Lupinus,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Lycium,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,368,514,369,168,506,663,733,769,154,291,482,601,248,996,445,2920,488,697,1520,525,275,539,415,950,2230,5090,2549,761,1039,612,243,341,392,218,400,1032,315,1424,260,563,754,1114,936,756,373,984,548,105,422,298,324,226,578,255,271,279,121,196,204,153,68,128,177,179,162,184,107,163,124,48
Lycopodium tablets,LABO,concentration,grains/tablet,,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077
Lycopodium tablets,LABO,quantity added,number,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lythrum,UPHE,pollen,NISP,,,,,,,,1,,,,,4,7,10,8,6,,5,24,1,4,,3,,2,,,2,4,1,,,1,,1,1,,,,,,,,,,,,1,,,,,,2,1,1,,,,,,,,,,,,,,
Mimosa,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum,AQVP,pollen,NISP,,,,,,,,,,,,,,,3,1,,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Parkinsonia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum,ALGA,colony,NISP,,7,5,11,5,,27,,218,12,342,269,20,,72,83,198,64,8,,166,,,,,1,5,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Picea,TRSH,pollen,NISP,,1,,,,,,,,,,1,,,,,,,,2,,,2,,,,,,,,,15,,,,1,,,,,,,3,,1,,,,1,4,,2,,,,,3,,2,,,3,,,,5,1,,,,
Pinus,TRSH,pollen,NISP,,20,38,26,41,52,49,59,23,56,13,26,14,74,6,13,29,15,19,49,26,78,39,9,7,26,47,14,26,34,9,15,11,9,24,23,32,53,24,106,168,165,116,94,82,37,33,59,51,119,41,99,69,72,80,41,52,63,71,67,64,146,67,75,53,83,73,55,43,70,87
Plantago,UPHE,pollen,NISP,,3,3,,1,1,1,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Platanus,TRSH,pollen,NISP,,16,9,13,5,4,26,7,30,5,19,29,22,,,8,23,2,1,7,6,4,4,3,6,2,2,,4,4,1,2,,7,3,8,3,10,2,,1,,,,3,4,3,4,,7,,1,,,,,1,,,,,,,,,,,1,,1,6
Poaceae undiff.,UPHE,pollen,NISP,,7,3,6,7,30,13,31,13,19,10,21,26,23,19,19,10,18,10,22,13,32,60,22,15,35,17,14,9,30,17,30,11,28,26,22,27,16,13,30,1,11,5,11,12,24,16,14,122,36,37,93,43,24,56,22,43,38,28,21,9,24,8,6,1,24,12,5,6,12,1
Polemoniaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum sensu lato,UPHE,pollen,NISP,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,1,,5,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Polypodiophyta,VACR,spore,NISP,,,,,,,1,,3,,,1,1,,1,1,,,1,,3,,,,,,,,,,,,,,,,,1,,5,,,,,1,1,3,,,,1,1,1,3,,,,,,,,1,,1,,,,1,,,2
Populus,TRSH,pollen,NISP,,13,6,1,8,1,,1,2,,,3,1,3,2,2,7,2,,2,,4,2,,,1,7,1,,6,,,,,,1,,1,1,5,,,,16,,,2,,10,,,10,,,6,,,1,,,,2,,,,,,1,,,
Portulacaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Potamogetonaceae,AQVP,pollen,NISP,,506,884,346,616,486,231,155,182,265,96,215,216,130,26,66,15,22,2,80,161,263,1877,325,241,44,6,25,8,12,2,37,,4,10,,,8,,,,,1,2,7,,112,,35,8,9,6,3,,26,7,8,9,1,15,1,4,,10,,,,1,,1,10
Potentilla,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Prosopis,TRSH,pollen,NISP,,3,3,,3,,,,,,1,3,,,,,,,,,,,,,4,,1,2,4,,,1,1,5,,3,4,2,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,12,9,18,18,30,21,13,15,13,17,19,14,18,14,11,8,12,12,20,10,24,6,7,7,36,17,10,5,11,8,9,11,12,16,12,24,21,20,5,18,13,8,21,33,29,27,23,24,21,21,44,31,9,46,24,15,18,26,19,13,4,6,6,12,11,11,14,15,18,11
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,
Rhus,TRSH,pollen,NISP,,,1,,4,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex,UPHE,pollen,NISP,,,,,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,
Salix,TRSH,pollen,NISP,,21,21,20,8,6,7,4,4,5,,7,9,4,,,,3,,,1,,2,,2,1,1,2,1,2,4,,2,1,2,1,5,3,2,2,,,,,1,1,,1,3,1,,8,2,4,,,4,1,3,1,,,3,1,3,2,2,,,1,
Sample quantity,LABO,volume,ml,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sarcobatus vermiculatus,TRSH,pollen,NISP,,1,,,,2,,1,,3,,,,,,,,,,,1,,,,,2,,2,,,1,,,,,,,,,,1,,,6,,1,,,,1,,2,,1,,,,,,,,,,,,,,,,,
Selaginella,VACR,spore,NISP,,,,,,,,,,,,,,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,
Simmondsia chinensis,TRSH,pollen,NISP,,1,,2,,,,,,,2,2,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaeralcea,UPHE,pollen,NISP,,,,1,,,2,,,2,1,,,,1,,,1,,,,,,2,,,,,1,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirogyra,ALGA,palynomorph,NISP,,45,59,5,15,81,96,36,118,51,35,132,68,38,10,6,12,3,1,12,14,37,32,73,47,9,6,9,11,17,15,14,12,132,41,93,61,25,4,17,,,,10,,,3,,3,102,4,44,19,,52,29,14,2,3,9,1,16,4,4,1,,,2,1,,
Sporormiella,FUNG,spore,NISP,,,,,,,1,,1,,,,,,,,,,1,,2,,,1,,,3,,,,,,,,,,,,1,,,,,,,1,,1,,,7,12,,1,,2,,,,,,,,1,,,,,1,,
Thalictrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
Thecaphora,FUNG,spore,NISP,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,8,2,,,,1,,1,,,5,,,6,,,,,,,,,,,,,,,,,
Tidestromia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Typha latifolia,AQVP,pollen,NISP,,1,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,2,4,7,,,,,,,3,,1,2,2,1,,,,1,,,,,,,,,
Typha/Sparganium undiff.,AQVP,pollen,NISP,,1,,4,5,16,,,3,3,1,,,,,,,,,,3,,,,,,2,,1,,,,33,28,1,,11,65,,,,,,1,4,20,13,630,,,,1,,,,,,,,,1,,,2,,,,,1,1,
Unknown,UNID,pollen/spore,NISP,,4,,,5,2,1,2,1,2,1,1,1,4,2,,1,,,,,,,1,2,,,1,1,,2,,2,,,2,,,,,,,1,1,,1,,1,1,2,1,3,1,1,1,2,3,5,,1,,,,7,,1,1,,,1,2
Urtica,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,
Yucca,SUCC,pollen,NISP,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
