"name","group","element","units","context","S3380","S3381","S3382","S3383","S3384","S3385","S3386","S3387","S3388","S3389","S3390","S3391","S3392","S3393","S3394","S3395","S3396","S3397","S3398","S3399","S3400","S3401","S3402","S3403","S3404","S3405","S3406","S3407","S3408","S3409","S3410","S3411","S3412","S3413","S3414","S3415","S3416","S3417","S3418","S3419","S3420","S3421","S3422","S3423","S3424","S3425","S3426","S3427","S3428","S3429","S3430","S3431","S3432","S3433","S3434","S3435","S3436","S3437","S3438","S3439","S3440","S3441","S3442","S3443","S3444","S3445","S3446","S3447","S3448","S3449","S3450","S3451","S3452","S3453","S3454","S3455","S3456","S3457","S3458","S3459","S3460","S3461","S3462","S3463","S3464","S3465","S3466","S3467","S3468","S3469","S3470"
Abronia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,1,2,3,4,,,,1,,2,4,1,3,,1,1,,1,,,1,1,,6,6,,2,1,,,,,1,,,5,,1,,3,2,1,,2,1,1,1,1,1,,5,2,,1,1,,,,,,3,1,3,1,1,1,3,1,1,1,,,,,,,,,,,,,1,1,3,39,42,13,18,33
Amaranthaceae undiff.,UPHE,pollen,NISP,,30,30,28,37,32,30,32,25,22,46,25,32,25,33,36,61,37,28,32,34,33,40,18,33,34,31,21,40,32,53,62,33,40,32,61,54,62,27,52,55,47,45,33,28,24,39,34,21,39,42,15,21,35,26,25,49,21,28,23,19,19,33,32,27,23,56,37,34,20,43,19,,24,17,36,43,17,38,16,18,12,26,21,19,36,16,35,19,29,25,66
Ambrosia,UPHE,pollen,NISP,,18,25,12,17,17,10,15,12,15,11,19,10,11,11,14,23,16,17,10,9,15,21,19,34,19,16,15,23,11,29,16,12,17,7,17,14,18,10,12,18,6,11,6,13,16,10,14,8,9,10,8,15,9,10,18,14,6,18,14,14,12,10,17,3,8,28,8,29,10,16,7,,2,12,5,26,9,15,6,10,7,8,14,13,10,5,9,9,18,11,15
Angiospermae undiff. (herbs),UPHE,pollen,NISP,,,10,3,17,11,5,13,3,19,9,6,66,8,13,15,15,8,15,8,7,3,10,9,6,10,8,4,14,11,12,2,16,,14,5,7,13,8,7,4,114,4,15,17,6,6,6,6,3,3,5,3,5,2,3,2,6,8,3,5,4,3,6,2,6,2,2,6,5,6,,,2,3,7,3,3,6,1,7,16,19,6,3,9,6,2,6,5,5,4
Apiaceae,UPHE,pollen,NISP,,3,1,3,2,3,5,5,4,,1,,3,4,,4,5,1,1,,,1,2,,3,3,1,2,,,,2,,1,,,,1,2,,,3,2,,1,,1,2,2,3,4,,2,1,2,3,,3,1,,1,7,4,6,2,,4,,3,3,,,,1,,,,,,,1,2,4,3,1,3,,3,3,1,,2
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,
Artemisia,UPHE,pollen,NISP,,13,15,25,35,36,45,48,42,48,54,50,60,57,83,106,116,58,77,61,62,38,49,52,32,55,34,61,63,55,59,82,36,73,54,65,61,95,73,80,54,76,64,50,51,66,39,63,53,74,60,41,42,82,36,43,43,38,48,48,52,42,66,59,60,50,60,34,55,40,62,16,,26,14,17,36,13,22,15,26,40,14,23,21,27,29,11,8,13,12,14
Asteraceae undiff.,UPHE,pollen,NISP,,5,11,6,19,15,12,12,9,9,8,4,4,12,14,10,15,16,18,20,15,9,12,15,15,10,16,10,16,6,15,8,7,14,5,13,12,14,15,16,45,7,14,18,23,9,12,16,19,14,26,16,14,9,11,13,6,4,13,4,16,8,9,20,5,14,18,8,11,1,8,5,,5,1,7,5,5,5,8,2,16,18,19,3,5,6,4,5,5,2,3
Berberis,TRSH,pollen,NISP,,,,,2,,,,,,,,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bistorta officinalis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botryococcus,ALGA,colony,NISP,,4,20,20,11,3,13,4,1,5,2,4,10,9,3,2,11,17,14,11,15,,,,1,,,,,1,,,,2,5,6,12,2,14,5,3,4,13,2,3,2,1,,1,1,1,,3,2,3,1,5,1,4,1,5,5,12,50,34,2,3,6,,3,1,,,,,,,,2,,2,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,1,,,,,,,2,,,,,,3,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,18,36,27,,,,,,1,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,2,,,,,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,,,,,,1,,,,,1,,,1,2,,,,,,,,,,1,2,,,2,,,,2,,1,1,,1,,1,2,,,,,,,,1,,1,,,1,,,,,,,,2,,,1,1,,,,,,,,,1,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassulaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,345,403,301,136,108,111,98,133,94,206,143,173,541,496,268,261,179,203,236,351,221,234,121,260,163,217,206,299,77,79,125,90,391,518,359,314,413,530,607,482,125,665,615,257,423,376,335,245,239,145,124,138,511,172,91,259,64,129,23,108,99,303,107,103,149,176,123,121,111,234,103,3,61,27,26,9,30,5,17,136,191,145,100,135,164,261,64,7,45,200,27
Delphinium-type,UPHE,pollen,NISP,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,2,9,,,,,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
Dodecatheon-type,UPHE,pollen,NISP,,,,11,,,,,,,,,1,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ephedra trifurca-type,TRSH,pollen,NISP,,,,,,,,,,1,,,,2,,,1,,3,1,,,3,2,1,3,1,,,1,2,,,,5,,,,,,1,,,1,1,,,1,,1,,,,,,,,,,,,1,1,,,1,2,1,1,1,,,,,3,,,2,1,1,,,,,,1,1,2,2,,,2
Ephedra viridis-type,TRSH,pollen,NISP,,1,3,7,4,2,4,5,,2,2,2,5,2,4,1,1,2,1,3,4,4,1,1,2,5,3,,5,,7,8,4,4,4,,5,10,5,3,3,2,10,4,1,,,3,4,1,,,3,2,2,1,1,3,2,2,5,,1,,3,2,2,2,5,5,2,1,,1,,6,5,,1,3,2,1,3,1,1,2,,1,,,,1
Equisetum,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,10,10,10,,1,1,48,,14,95,8
Ericaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,,,1,,1,,,,,3,,,,1,2,1,,,,2,1,,,,3,,,2,,1,,,,2,,,,,1,,,,1,1,,,,,,,,,,,,,1,2,,1,,,,,1,,,,,,,,,,1,,,,,1,1,,,,,,,2,,,1
Erythranthe guttata,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,2,2,2,,2,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1
Fraxinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,1,,,1,,1,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
Gentiana-type,UPHE,pollen,NISP,,,,,2,6,1,3,,4,2,,2,1,1,,,,,,,,1,1,,,1,1,1,,1,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gilia-type,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humulus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,1,2,1,2,13,7,3,11,5,4,3,6,3,6,1,6,7,5,5,1,2,4,3,3,1,1,1,4,3,2,1,3,3,2,,3,,1,,,3,3,,1,1,,,,1,1,1,1,1,,,1,1,2,,2,,2,3,2,1,4,2,2,3,,8,50,1,6,,7,5,5,3,2,1,6,2,,1,,16,,6,6,19
Juglans,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,12,27,9,6,4,9,6,16,7,7,4,4,2,6,4,3,5,6,4,1,9,8,5,7,11,6,6,8,9,10,3,2,5,4,4,15,8,4,6,9,4,7,8,16,9,2,12,7,2,1,4,8,4,6,4,3,6,,3,4,1,3,10,1,,8,,11,1,,1,,,1,4,15,5,6,6,13,13,12,5,2,5,5,2,4,2,2,1
Lamiaceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,,1,,1,,,,,,2,,,,,,1,,1,,1,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,6,,,,1,1,,1,,,
Lonicera/Symphoricarpos,TRSH,pollen,NISP,,,,,2,,,1,,,,1,,,2,,,,,,,,,,,1,1,,,,,1,,,,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Lycopodiaceae,VACR,spore,NISP,,,400,318,327,304,207,100,100,50,63,50,59,68,50,57,60,50,50,50,50,53,50,51,63,55,50,50,52,50,,,50,,50,,,1489,,,,50,,,,50,,,,50,,,,50,,,50,,52,,50,,56,,58,50,53,55,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,80,25,25,50,50
Lycopodium spike,LABO,counted,number,,,974,590,334,266,193,133,143,169,213,170,193,749,470,751,350,471,545,379,245,198,398,405,799,626,444,754,1242,678,348,377,255,266,236,566,511,381,300,221,172,425,227,471,345,1268,669,700,500,1599,870,922,1157,1590,379,984,958,948,520,234,255,317,388,,268,320,327,375,347,573,537,508,243,445,802,992,956,620,812,413,422,332,444,525,303,244,190,540,412,232,390,678
Lycopodium tablets,LABO,concentration,grains/tablet,,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500
Lycopodium tablets,LABO,quantity added,number,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Malvaceae sensu stricto,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navarretia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Pediastrum,ALGA,colony,NISP,,2,3,,42,5,,,,,,,,7,51,3,15,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,4,2,,,,16,2,,6,,,,,,,,5,2,,2,150,56,5,,,,1,1,,,,,,,,,,,,2,,,1,
Pedicularis,UPHE,pollen,NISP,,,,,,2,1,5,,1,,,,1,,1,,2,3,,,,,1,,,1,1,,,1,,2,,,,4,3,3,,,5,,3,2,1,1,1,1,,1,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Phacelia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phlox,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,64,74,78,47,40,52,50,39,35,77,56,42,42,17,10,27,46,39,14,41,60,57,48,33,18,65,55,34,56,43,106,117,135,84,83,66,53,65,40,39,63,62,103,65,60,97,93,111,63,80,76,92,39,69,110,78,109,77,100,78,81,43,76,88,43,53,40,63,65,40,104,,148,116,106,72,113,98,136,157,71,26,27,136,87,224,82,122,209,97,33
Pinus,TRSH,pollen,NISP,,85,78,69,93,115,125,111,107,96,119,123,125,106,98,70,91,91,54,90,99,103,106,87,149,91,109,117,119,134,157,173,131,170,104,177,171,233,222,135,118,139,145,164,137,103,176,118,125,107,147,85,141,163,127,136,108,104,118,89,94,95,150,168,113,151,101,150,86,164,153,122,,100,167,181,61,80,64,95,123,91,139,126,144,149,123,110,92,123,147,106
Plantago,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,54,31,33,36,28,28,19,15,9,20,16,22,38,41,43,44,38,48,29,27,16,27,21,18,31,23,34,21,21,50,22,5,26,10,12,37,39,19,49,29,9,26,26,37,12,26,37,22,14,51,27,33,49,35,13,16,16,7,9,9,15,18,19,7,5,20,14,8,4,2,7,,4,,3,4,5,3,,4,9,14,6,6,15,6,7,6,6,11,9
Polygonum californicum-type,UPHE,pollen,NISP,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potamogetonaceae,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,,1,,,1,,,,3,1,,,,2,,1,6,,2,3,,2,,,,4,,1,2,,1,,3,,1,2,1,1,2,1,,,4,,1,,2,3,,2,1,,,,1,1,1,,2,,1,2,2,1,1,,,,1,,,,,,1,,,,,1,1,3,1,,,1,,1,2,,
Quercus,TRSH,pollen,NISP,,22,41,25,23,12,22,4,16,19,12,6,5,8,9,9,17,8,9,15,12,15,14,9,18,17,6,9,10,22,12,7,9,9,9,13,15,11,11,10,3,6,6,1,9,16,9,13,12,7,6,9,7,13,8,6,6,7,7,3,3,6,6,6,9,4,8,7,20,7,3,4,,8,3,2,2,5,1,,10,17,14,7,13,9,8,4,6,5,9,2
