"name","group","element","units","context","S61623","S61624","S61625","S61626","S61627","S61628","S61629","S61630","S61631","S61632","S61633","S61634","S61635","S61636","S61637","S61638","S61639","S61640","S61641","S61642","S61643","S61644","S61645","S61646","S61647","S61648","S61649","S61650","S61651","S61652","S61653","S61654","S61655","S61656","S61657","S61658","S61659","S61660","S61661","S61662","S61663","S61664","S61665","S61666","S61667","S61668","S61669","S61670","S61671","S61672","S61673","S61674","S61675","S61676","S61677","S61678","S61679","S61680","S61681","S61682","S61683"
Botryococcus,ALGA,colony,NISP,,16,17,12,3,10,5,4,5,14,7,8,3,24,9,18,27,39,18,32,13,15,30,20,62,17,34,70,19,66,18,40,17,26,,,2,,2,2,,1,7,12,13,17,17,16,15,4,39,29,6,6,19,17,2,13,44,20,2,20
Brassicaceae,UPHE,pollen,NISP,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,3,,,
Cactaceae,SUCC,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,1,,,,1,,,,,,,1,,1,,,,5,4,2,1,,,,,,,,1,,1,,,,,,,,1,,,,,1,2,,,,1,1,,,1,,,,2,,,1
Ceanothus,TRSH,pollen,NISP,,1,,1,,,,2,1,1,,,,,,1,,,1,,,,2,,,,,1,1,,1,,1,1,1,2,2,2,,1,1,,1,1,,,,,1,1,,,1,,,1,,2,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus,TRSH,pollen,NISP,,2,1,3,,,5,1,7,1,,,,,,,,,,,,,,,1,,,,,1,3,,1,1,1,1,3,1,1,,,,3,,,2,2,1,3,,1,,,,2,1,,3,,2,,
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Cupressaceae,TRSH,pollen,NISP,,13,2,4,10,5,2,7,3,2,6,6,13,7,7,9,9,9,11,15,9,7,9,7,4,13,6,1,15,19,25,21,7,10,13,13,6,5,22,19,18,10,3,4,3,4,5,2,11,6,3,5,1,10,7,14,18,17,34,7,5,11
Cyperaceae,UPHE,pollen,NISP,,20,23,32,38,32,59,41,40,44,51,56,68,46,57,73,78,72,78,50,51,50,24,3,4,11,23,17,3,8,5,1,5,8,4,5,12,4,5,5,2,3,,3,1,1,7,6,21,3,1,3,2,,6,10,5,6,1,6,,5
Ephedra,TRSH,pollen,NISP,,,,,,1,,,,,,1,,,,1,,,,2,,,1,,,,,,,,,1,,,,,,,2,1,,,,,,,,1,,,,,1,1,,2,,,1,,,
Equisetum,VACR,spore,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae undiff.,UPHE,pollen,NISP,,,,1,1,,,1,1,,1,1,1,,,,2,,3,2,1,,2,2,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,2,1,2,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,1,,,,,,,,,,,1,,,,,1,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,
Galium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Holodiscus,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,7,1,2,,2,1,3,,5,,2,1,2,,2,2,,3,8,5,5,2,7,7,8,10,9,3,8,7,4,,5,7,3,4,2,12,3,6,1,7,1,3,3,5,3,4,5,14,4,5,15,6,6,7,6,5,3,2,9
Isoëtes,AQVP,spore,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,,1,,1,,,1,1,,1,,,1,,,,1,,2,1,1,2,,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,
Liliaceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Lonicera,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,19,71,56,66,46,47,42,36,52,19,17,72.5,8,63,19,62,88,45,45,35,21,47,104,102,69,102,156,102,296,157,156,199,341,170,451,211,242,505,176,283,178,139,191,126,53,49,50,46,55,115,148,161,186,79,40,65,39,100,113,133,134
Menyanthes trifoliata,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
Parkinsonia,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Pediastrum,ALGA,colony,NISP,,8,14,8,6,7,11,10,11,3,10,8,16,8,35,21,38,33,20,22,19,20,30,72,80,52,35,37,59,138,56,70,701,85,1973,595,739,726,91,162,204,92,135,109,77,54,33,83,66,17,9,15,3,5,4,8,65,44,23,10,10,52
Picea,TRSH,pollen,NISP,,,,2,,1,,,,,,,,1,1,2,1,2,4,12,8,8,8,33,24,24,71,44,138,97,68,86,95,116,86,93,61,106,31,107,96,99,74,146,127,105,105,83,72,90,86,73,137,48,123,99,101,121,135,89,123,78
Pinus edulis-type,TRSH,pollen,NISP,,3,3,2,3,2,2,1,1,3,2,4,2,1,2,7,3,4,4,9,8,2,6,2,3,2,12,6,10,12,9,15,16,13,17,17,12,23,21,16,20,3,28,12,20,10,9,17,4,11,17,19,9,14,10,11,8,8,6,21,10,18
Pinus flexilis-type,TRSH,pollen,NISP,,40,1,1,,2,1,,1,,1,,4,,,,,9,2,,6,19,10,13,40,14,17,59,39,37,24,34,36,38,34,18,27,26,30,25,11,39,48,32,27,14,17,49,63,45,30,54,25,17,36,43,32,37,19,58,20,32
Pinus subg. Pinus,TRSH,pollen,NISP,,117,189,188,171,180,180,151,183,201,207,180,189,178,190,156,168,129,121,105,109,84,57,90,45,73,41,14,13,,,2,,,,1,,,,,,,2,,,,1,,,2,,3,,,,1,,,,,,3
Plantago,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,40,58,45,56,40,61,69,56,42,52,53,39,52,38,46,55,47,61,60,68,55,48,28,28,27,30,24,8,11,13,8,5,18,13,6,10,1,13,5,7,10,17,5,4,9,14,27,31,22,25,21,12,13,39,30,14,19,12,30,2,32
Polemonium,UPHE,pollen,NISP,,,,,,1,,,,,,,1,,,,,,,,,1,1,1,1,2,2,2,,,,2,1,2,,3,1,2,1,,,,1,,2,2,,2,1,2,,,2,4,3,2,,,2,1,4,3
Pollen concentration,LABO,Lycopodium method,grains/ml,,387200,101912.7,132235.7,107433.3,160456.5,156527.7,159028.6,204355.6,141011.5,397389.5,435600,102140.7,919600,121384.1,384652.6,119438.7,83050,157031.1,169400,215034.3,336495.3,127693.6,76788.46,71650.98,107672.5,71176.47,42194.87,78768.63,24854.05,47321.02,47934.62,36968.84,21574.19,43987.06,16741.46,37618.96,34100,15813.86,41112.5,25995.76,43505.62,54145.32,39404.19,59923.81,144743.4,150632.7,170368,162034.8,134640,74914.78,49381.08,47648.45,39422.58,119162,184525,117649.2,189876.9,80828,68745.13,56042.11,57610.45
Polygonum sensu lato undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,,,,,,,1,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Populus,TRSH,pollen,NISP,,2,,,,,,,,,,,,,,1,,1,,2,,,1,,,,1,1,,,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,1,,2,,,,
Portulacaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Potamogetonaceae,AQVP,pollen,NISP,,23,30,46,49,13,56,28,26,8,13,17,28,9,2,16,10,27,16,16,24,13,24,,2,1,,,,,,,1,,,,,,,,,,3,,,,2,,,1,,1,,,1,,1,,,,,2
Prunus/Amelanchier,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,1,,,1,1,,,1,1,,,,1,2,3,,2,3,,,2,1,,2,1,,1,
Pseudotsuga,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,,2,1,1,1,,,,2,,1,,,6,,3,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Pteridium,VACR,spore,NISP,,,,,,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,25,11,10,13,21,15,10,14,12,14,17,15,22,34,14,18,27,24,9,22,24,5,6,8,13,2,7,2,1,1,1,1,6,2,1,1,5,,,1,3,1,2,1,2,1,3,9,9,22,9,6,7,8,8,5,14,3,13,8,6
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,,2,,,,,,1,,,,,,,4,,,,,,,,,
Ribes,TRSH,pollen,NISP,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,1,,3,1,,5,,,,4,1,,3,2,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Rumex,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,,,,2,2,,1,1,1,2,,,3,,,,1,,,,2,,,2,,,3,,,1,,,1,2,,2,,1,,,,3,,1,,,,,2,,,1,,1,,,,,1,,1
Sarcobatus vermiculatus,TRSH,pollen,NISP,,,,,,,,,,1,,,1,1,2,2,2,,1,5,3,2,3,5,3,4,2,3,1,3,2,2,2,1,1,4,3,7,6,2,2,,1,1,2,3,2,2,2,2,1,3,,1,1,1,1,,1,,1,1
Scrophulariaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sphaeralcea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,2,,,,1,,,,2,,,1,2,,,,,2,3,3,2,1,2,3,2,5,,,,1,2,,1,,,,,,,,1,1,,,1,1,2,2,,1,9,2,3,3,1,,4,1,1,,5
Trixis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha latifolia,AQVP,pollen,NISP,,,,1,1,,,,1,1,1,2,,1,3,4,3,6,4,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulmus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,1,4,7,2,1,4,1,4,1,,1,6,4,1,8,4,6,4,6,5,3,7,4,7,3,2,1,,1,2,,2,,,1,2,,2,1,1,1,1,,2,,,3,,1,1,2,,1,1,3,,,2,,,2
Unknown (monolete) undiff.,UNID,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,1,2,,1,3,6,1,2,5,3,3,2,1,1,3,2,5,2,2,3,3,6,,1,
Unknown (trilete) undiff.,UNID,spore,NISP,,,2,,,,,,1,,,1,1,,,6,2,1,,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
Utricularia,AQVP,pollen,NISP,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf. Brasenia schreberi,AQVP,pollen,NISP,,3,9,7,10,5,5,14,22,15,15,17,26,11,60,74,68,42,71,32,53,35,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
