"name","group","element","units","context","S163770","S163771","S163772","S163773","S163774","S163775","S163776","S163777","S163778","S163779","S163780","S163781","S163782","S163783","S163784","S163785","S163786","S163787","S163788","S163789","S163790","S163791","S163792","S163793","S163794","S163795","S163796","S163797","S163798","S163799","S163800","S163801","S163802","S163803","S163804","S163805","S163806","S163807","S163808","S163809","S163810","S163811","S163812","S163813","S163814","S163815","S163816","S163817","S163818","S163819","S163820","S163821","S163822","S163823","S163824","S163825","S163826","S163827","S163828","S163829","S163830","S163831","S163832","S163833","S163834","S163835","S163836","S163837","S163838","S163839","S163840","S163841","S163842","S163843","S163844"
Amaranthaceae,UPHE,pollen,NISP,,20,31,19,13,18,10,16,16,20,34,28,23,19,22,24,14,15,26,22,25,19,19,22,17,7,16,25,6,17,20,17,15,26,18,19,20,34,33,31,15,20,21,12,26,21,8,18,13,16,12,13,11,4,10,23,2,13,2,12,6,5,13,11,13,12,13,17,16,17,26,29,18,9,11,16
Ambrosia,UPHE,pollen,NISP,,1,,1,3,,4,4,,,3,2,3,3,1,1,,2,,3,2,1,1,2,2,,,1,,1,,1,3,,,1,1,,3,,1,,2,4,1,1,1,,,1,1,2,,,2,1,,,1,,10,1,,1,,1,,,,1,,,,,,1
Apiaceae,UPHE,pollen,NISP,,3,1,1,,1,1,,1,6,,2,2,,1,1,2,,1,,2,3,1,3,1,2,,,,,,3,1,,,,1,1,1,,1,,,,2,,,,2,2,,1,2,3,,,1,1,1,,,,,,1,1,,1,,,,,,1,,
Artemisia,UPHE,pollen,NISP,,56,63,45,48,38,54,57,49,42,54,56,69,61,40,55,58,48,78,51,50,74,71,71,30,30,37,39,9,37,41,37,34,42,16,38,19,39,41,36,40,42,57,43,64,51,38,60,94,125,109,94,90,97,64,38,89,73,103,100,90,151,128,152,83,102,148,96,151,107,146,171,153,49,72,139
Asteraceae,UPHE,pollen,NISP,,18,11,19,8,15,11,17,12,16,9,23,15,13,17,12,11,11,16,12,17,21,14,17,14,8,11,16,2,11,22,10,42,19,11,13,12,19,20,16,10,13,14,10,16,16,13,13,13,16,19,17,19,26,22,25,14,17,17,19,23,20,18,13,7,12,27,13,22,15,17,26,18,8,28,23
Betula,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Botryococcus,ALGA,colony,NISP,,16,35,17,2,40,32,24,75,59,75,76,50,53,3,5,8,20,20,23,27,29,4,,5,4,2,1,,12,33,20,2,91,13,106,118,335,33,12,18,7,37,33,14,32,1,9,11,5,12,10,1,10,29,2,4,12,2,5,,,,1,1,,,,1,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,1,,,2,1,,,,,,1,1,1,,2,,1,,,,,,,,1,,,,1,2,,,1,2,,,,,,,1,,,,,1,1,,1,,,,,,,1,,,1,2,,2,,2,1,,,,,,
Campanulaceae,UPHE,pollen,NISP,,,1,,1,1,,,,,,,,,1,1,,1,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cercocarpus,TRSH,pollen,NISP,,2,,1,2,1,1,2,1,,2,,1,,,2,1,2,1,1,2,1,1,1,1,2,3,3,,,,4,2,3,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,8,11,10,11,11,57,50,9,10,17,6,4,21,8,18,11,9,7,16,11,18,25,11,12,16,7,4,21,7,15,7,9,9,11,9,12,12,5,3,,1,6,1,6,4,4,8,6,10,6,21,7,15,5,7,22,34,42,14,11,6,5,2,3,5,4,6,3,1,3,1,2,3,1,3
Ephedra,TRSH,pollen,NISP,,,1,,1,,1,,1,2,1,1,3,1,3,1,1,,,2,,1,1,,2,1,,1,,,2,1,,,1,1,1,1,1,1,,1,,1,,1,,,,,,1,,,,1,,,,,,,,,,,2,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,1,1,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,1,,,,,,1,,,1,2,,,,1,,,,
Fabaceae,UPHE,pollen,NISP,,,2,3,,1,4,,,1,,,2,2,,,1,1,,1,,1,,,2,,,,1,2,,,,2,4,,,,,1,,,,1,,1,,1,,1,,1,1,1,,,2,1,1,4,,,,1,1,,,1,,,,1,,,,
Galium-type,UPHE,pollen,NISP,,1,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,,,
Indeterminable,UNID,pollen,NISP,,,,,,1,2,,,,1,,3,,3,1,1,1,1,1,2,1,1,2,1,2,2,3,,,1,1,1,1,1,1,2,,2,,1,1,1,,2,2,1,1,,,1,1,,2,,1,,2,2,3,1,2,4,2,3,3,3,1,1,5,1,2,4,6,3,4
Juglans,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,6,9,4,1,2,1,1,4,7,15,9,15,21,17,4,6,6,11,26,17,24,13,4,18,3,22,18,3,7,18,9,27,12,12,16,10,9,18,7,4,2,5,10,3,2,,3,4,6,7,8,6,21,5,10,12,23,29,32,25,21,29,33,17,44,21,12,9,28,23,11,28,16,10,17
Lamiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
Liliaceae,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,1,,,1,,1,,,,1,,1,,,,,1,,1,,,,2,,,,1,,1,,,,,,,1,,,1,,,,,,,,
Lonicera,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,3,,1,2,1,1,,1,2,2,,1,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum,ALGA,colony,NISP,,10,20,1,9,5,2,1,2,2,,3,1,10,3,6,1,1,1,2,6,9,15,,1,2,2,1,1,6,3,3,,3,11,6,2,1,,,9,36,16,10,23,15,35,30,39,128,145,610,30,250,35,22,490,19,40,4,3,,,,1,,,,1,,,,,,,
Picea,TRSH,pollen,NISP,,40,28,37,21,48,28,17,50,41,18,25,19,9,35,26,12,24,24,16,20,8,19,24,24,15,20,16,14,30,8,23,17,27,6,23,6,11,17,55,33,39,22,22,19,21,21,23,19,12,39,28,40,29,30,35,17,19,6,20,15,19,12,8,30,12,6,18,9,15,9,9,8,5,13,15
Pinus subg. Pinus,TRSH,pollen,NISP,,24,37,67,64,49,28,28,49,56,41,44,38,27,31,51,48,63,17,37,28,14,25,29,80,25,36,51,50,51,36,73,31,48,12,36,20,32,56,69,41,19,77,66,40,51,51,98,46,15,27,15,27,33,57,21,10,36,7,23,16,7,10,15,22,6,9,9,10,8,12,6,8,2,9,8
Pinus subg. Strobus,TRSH,pollen,NISP,,5,10,9,41,15,11,6,9,20,9,7,13,9,34,4,15,19,18,11,5,,5,19,15,3,7,18,6,13,14,6,21,2,,3,2,2,,5,1,44,9,3,2,3,45,2,1,1,1,,12,3,3,23,3,13,6,14,26,21,26,20,43,22,22,20,39,26,13,12,14,14,21,25
Pinus subsect. Cembroides,TRSH,pollen,NISP,,4,8,17,3,15,7,2,4,6,1,4,4,1,7,2,4,10,4,5,,,,1,5,,2,1,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,1,2,2,2,,,2,2,1,2,,2,,,
Pinus undiff.,TRSH,pollen,NISP,,12,12,16,13,25,22,25,22,14,8,16,15,11,14,18,15,7,16,16,11,26,19,15,11,22,15,8,12,34,16,18,12,20,4,8,8,6,7,26,82,83,47,44,30,56,63,33,36,56,43,38,25,22,33,20,19,14,9,6,7,8,9,6,11,34,8,11,4,15,4,4,13,8,11,8
Plantago,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,66,45,32,33,23,27,28,23,23,44,43,42,60,26,40,59,31,42,62,77,56,30,39,27,33,33,34,12,26,59,53,21,45,33,33,50,30,21,23,14,29,24,37,31,40,17,26,30,32,16,36,36,39,31,41,42,38,55,40,54,44,36,36,54,35,33,29,33,52,35,25,38,11,22,37
Polemoniaceae,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,1,,,
Polygonum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,,,1
Populus,TRSH,pollen,NISP,,1,2,1,,1,2,2,1,1,3,4,3,6,1,1,,,3,2,2,5,3,9,1,1,3,2,,,4,,4,5,5,2,3,5,,2,,1,,3,2,2,2,,,,,,,,1,6,,3,,,,,,,,,,,,1,,,,,,
Potentilla-type,UPHE,pollen,NISP,,1,2,1,,1,2,1,2,2,,,1,1,,2,3,1,,1,,,1,,,1,3,2,,4,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Primulaceae,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,,,1,1,,1,,2,1,,1,,,1,,,2,3,1,2,,,2,4,1,3,4,3,2,,,3,3,,2,3,1,1,,,1,2,,,1,1,3,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,
Quercus,TRSH,pollen,NISP,,2,17,7,11,8,8,7,15,9,19,14,14,17,12,9,12,7,18,25,8,10,18,21,16,9,15,34,3,10,28,15,40,27,7,23,18,32,45,15,13,16,13,8,11,11,7,7,12,6,5,4,1,,9,16,3,4,1,1,,,,,,,,3,,2,1,1,1,,,
Ranunculaceae,UPHE,pollen,NISP,,1,4,2,,,2,3,3,2,,1,2,,,1,,1,1,1,1,,1,1,,1,3,3,,,1,,1,1,,2,5,3,2,1,1,,,2,2,2,2,3,3,10,5,2,4,5,4,,5,9,11,4,4,2,6,1,4,4,2,6,1,5,2,3,6,2,2,5
Rosaceae,UPHE,pollen,NISP,,10,12,9,7,8,6,11,4,11,6,3,4,10,1,29,16,23,6,4,4,3,12,11,9,25,11,2,1,16,11,3,5,4,2,1,1,1,2,2,1,1,,1,2,,,,,1,1,,,2,3,5,1,4,2,1,9,1,2,2,,1,,2,3,2,1,,2,,,
Rumex,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,2,2,1,,1,2,3,,,1,,1,3,,,,,,3,1,5,,,2,,2,1,,1,2,1,1,1,3,1,,1,2,1,3,2,,2,1,1,2,1,10,9,4,7,4,2,4,4,4,3,5,6,2,2,3,1,,2,,1,,,,,,,,1
Sarcobatus,TRSH,pollen,NISP,,4,1,1,5,2,,,2,2,1,4,1,3,5,4,2,1,,2,3,1,1,2,1,2,1,2,1,3,3,3,7,1,2,2,2,3,1,2,,1,,1,1,,1,1,,1,,,,,2,,1,2,,1,,,,1,3,6,1,,1,3,6,1,3,1,,2
Saxifraga,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,4,,,,2,2,12,,1,4,1,1,4,3,3,1,,1,,,,,1,,1,,,,,,,,,1,,,,,1,,1,1,,1,,,,,,,,1,,,,,,,,
Spike,LABO,counted,number,,116,115,203,200,197,185,176,194,254,96,99,127,102,115,132,129,155,100,88,68,45,137,150,168,119,124,105,184,132,79,58,65,69,15,95,53,47,79,84,36,55,69,60,38,68,50,37,67,58,49,58,80,124,42,42,42,127,66,129,120,113,114,204,207,190,188,103,237,233,230,209,,,1080,
Thalictrum,UPHE,pollen,NISP,,,2,,,,1,2,1,3,1,1,1,1,,2,1,3,1,2,2,1,,3,2,2,,,2,3,2,,1,2,1,,1,3,,3,3,,1,20,4,2,,,1,2,,1,2,,2,1,2,,,1,2,2,,,2,1,,3,,1,,2,1,1,1,1
Typha,AQVP,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ulmus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Urticaceae,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,1,1,,,,,,1,,,,,1,,,3,,1,,1,,,,,,2,,,1,,,,,,,,
