"name","group","element","units","context","S154412","S154413","S154414","S154415","S154416","S154417","S154418","S154419","S154420","S154421","S154422","S154423","S154424","S154425","S154426","S154427","S154428","S154429","S154430","S154431","S154432","S154433","S154434","S154435"
Ceanothus,TRSH,pollen,NISP,,,1,,,,2,,,,,,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,
Cercocarpus/Purshia,TRSH,pollen,NISP,,11,2,5,3,5,3,3,3,9,5,,,,3,1,,,,,2,2,,,2
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,,1,,1,,1,,,,,,,,,1
Cupressaceae,TRSH,pollen,NISP,,91,23,17,20,10,16,19,22,56,26,9,6,11,44,11,5,10,1,4,4,10,2,3,2
Cyperaceae,UPHE,pollen,NISP,,21,3,2,5,,28,12,1,,,2,1,23,2,,7,1,9,,2,,2,13,18
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,1,,1,,,,,,,,,,,,
Eriogonum,UPHE,pollen,NISP,,,,,,1,,,,3,1,,,,2,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,1,,,,1,,,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,4,8,18,13,24,6,14,11,12,26,13,13,15,7,44,23,41,18,14,16,10,12,14,13
Juglans,TRSH,pollen,NISP,,,,,,,,,,1,,,1,1,,,,,,,,,,,
Juncus,AQVP,pollen,NISP,,2,,,,,,,,1,,,,,,,,,,,,,,,
Linaceae,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,
Lycium,TRSH,pollen,NISP,,,,1,,,,,,2,,,1,,,1,,,,,,,,,
Lycopodium spike,LABO,counted,number,,468,281,274,251,487,324,569,347,306,220,460,488,300,303,888,909,1405,444,92,119,283,38,34,19
Myriophyllum,AQVP,pollen,NISP,,31,14,,,,427,79,1,1,3,2,,75,20,,1,1,,,,1,,,
Nymphaeaceae,AQVP,pollen,NISP,,4,,3,,,,,,,,,,,,,,,,,,,1,1,
Pediastrum,ALGA,colony,NISP,,36,,,,,105,23,,,,,,,1,,,,,,,,5,4,
Persicaria amphibia,UPHE,pollen,NISP,,,,,,,,,,,2,,,,,1,,,,,,,,,
Picea,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,5,,4,13,,6,3,7
Pinus edulis,TRSH,pollen,NISP,,8,5,6,5,4,3,6,3,8,2,7,3,7,9,2,3,4,,,,1,1,,
Pinus undiff.,TRSH,pollen,NISP,,74,125,150,115,89,133,141,145,116,138,179,164,160,137,88,208,144,196,221,164,139,194,167,158
Plantago,UPHE,pollen,NISP,,,,,,1,,,2,,,,1,,1,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,24,1,3,2,,36,20,9,7,2,,12,7,6,,3,3,6,3,13,4,3,6,17
Populus,TRSH,pollen,NISP,,,,,4,,,2,,,,4,,,,1,,,,7,3,,2,3,6
Potamogeton,AQVP,pollen,NISP,,6,,,,,,,,2,4,,,9,3,,,,,,,,1,10,11
Prunus,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,2,4,,,,
Quercus,TRSH,pollen,NISP,,19,44,51,52,44,33,46,45,24,33,22,24,18,30,16,14,21,19,15,14,41,14,8,4
Ranunculus,UPHE,pollen,NISP,,2,,,,,,,,,,,,,,,,,,,,,,,
Rhus,TRSH,pollen,NISP,,,1,,,,,,,1,,,,,,,,,,,,,,,
Ribes,TRSH,pollen,NISP,,1,1,,1,,,1,,,,,,,1,,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,4,,,1,,,,1,2,3,,,,2,,,,,,1,,,,
Salix,TRSH,pollen,NISP,,,,,,,3,1,4,1,,,,,1,,,,,,,,,,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,,1,1,,,,,,,,,,,,,,,,,1,,,,
Thalictrum,UPHE,pollen,NISP,,,,1,,,,,,,,,,,1,,,,,,,,,,
Typha latifolia,AQVP,pollen,NISP,,,,1,,,,,,,,,,1,,4,1,1,,6,4,,2,9,21
Unknown,UNID,pollen/spore,NISP,,8,1,6,1,2,5,2,2,7,5,3,1,,1,,,,,2,2,1,,,3
Urticaceae/Moraceae,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,
