"name","group","element","units","context","S8109","S8110","S8111","S8112","S8113","S8114","S8115","S8116","S8117","S8118","S8119","S8120","S8121","S8122","S8123","S8124","S8125","S8126","S8127","S8128","S8129","S8130","S8131","S8132","S8133","S8134","S8135","S8136","S8137","S8138","S8139","S8140","S8141","S8142","S8143","S8144","S8145","S8146","S8147","S8148","S8149","S8150","S8151","S8152","S8153","S8154","S8155","S8156","S8157","S8158","S8159","S8160","S8161","S8162","S8163","S8164","S8165","S8166","S8167","S8168","S8169","S8170","S8171","S8172","S8173","S8174"
Apiaceae,UPHE,pollen,NISP,,,,,1,1,,,,,,,,,,1,,,1,,,,,2,2,,,,,,3,,,,1,,,,,1,3,,1,1,1,,2,,,,,,,,,,,,,,,1,,,,1,
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,42,49,26,37,41,51,29,49,53,64,40,40,35,30,33,39,40,36,40,46,38,46,39,26,29,39,31,35,41,32,21,44,43,39,42,38,37,36,76,89,29,27,3,35,9,30,11,17,11,13,7,15,9,2,11,7,15,9,7,19,8,8,11,11,9,10
Asteraceae undiff.,UPHE,pollen,NISP,,9,14,5,7,9,6,7,7,4,12,16,10,6,5,8,16,9,6,9,17,15,5,8,7,8,13,11,8,5,7,2,10,9,16,10,7,6,44,10,21,7,14,4,6,4,13,8,2,2,5,3,4,4,,1,1,2,7,5,1,2,5,2,2,3,2
Betula,TRSH,pollen,NISP,,,1,,1,,,,1,,,1,,,,,1,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanulaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabaceae sensu stricto,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
Caprifoliaceae sensu lato,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,55,8,26,37,19,17,14,12,12,11,22,12,11,11,16,19,12,16,11,19,15,22,15,7,28,17,1,3,6,10,2,11,13,12,15,14,13,17,38,87,249,57,50,220,180,500,234,32,164,66,38,38,97,74,30,57,18,85,10,65,148,17,37,117,43,127
Elaeagnaceae undiff.,TRSH,pollen,NISP,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra torreyana-type,TRSH,pollen,NISP,,,,,1,,,1,4,,1,1,1,1,,,,,1,,,2,,,,1,1,,1,1,,1,,,,,3,,,,4,2,,,,,,1,,1,,,,1,,,,,,,1,,,,,,
Ephedra viridis-type,TRSH,pollen,NISP,,2,3,1,,1,2,1,2,,1,2,1,,,1,2,1,1,2,5,4,2,2,1,1,1,,2,2,,1,5,2,1,2,,3,2,4,5,3,3,2,9,1,4,5,1,,2,1,2,,,1,1,1,1,,,3,,3,,1,
Fabaceae,UPHE,pollen,NISP,,,,,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Fraxinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Hydrophyllaceae,UPHE,pollen,NISP,,,,1,,,,1,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Juncaginaceae,AQVP,pollen,NISP,,5,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Juniperus,TRSH,pollen,NISP,,12,25,28,11,28,21,20,21,3,20,25,24,11,12,15,21,21,8,7,25,24,37,26,18,38,27,37,31,14,14,17,32,12,37,16,26,28,14,35,72,29,13,11,31,2,13,7,4,12,19,3,3,5,7,5,8,4,5,14,1,10,14,10,3,9,3
Lamiaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Malvaceae sensu stricto,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,AQVP,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,1
Nuphar,AQVP,pollen,NISP,,8,4,8,3,2,6,5,,6,3,7,6,8,10,6,5,10,4,5,7,4,11,28,32,12,6,15,27,45,91,29,38,21,48,74,33,50,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Pediastrum,ALGA,colony,NISP,,32,23,39,160,43,54,18,22,34,4,4,,,,,,,,1,,3,,3,,,,3,2,2,2,,9,12,6,7,2,42,114,152,269,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,62,56,62,40,24,43,46,30,37,38,36,46,47,61,34,25,61,32,46,26,47,37,35,41,37,44,57,64,68,42,40,61,56,78,49,68,68,64,97,135,256,134,160,320,124,210,88,102,106,64,108,91,144,160,144,138,124,140,107,118,99,77,176,151,91,139
Pinus,TRSH,pollen,NISP,,108,98,96,128,119,105,136,114,134,123,113,113,107,111,106,103,107,117,124,112,99,103,106,130,110,81,77,89,87,113,61,62,95,68,94,88,83,92,202,302,368,293,96,453,123,244,141,143,113,147,131,153,105,114,161,96,125,112,140,118,156,159,95,122,153,106
Plantaginaceae,UPHE,pollen,NISP,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,16,19,26,19,35,36,33,35,29,33,24,18,18,19,27,18,14,18,26,30,26,34,29,17,31,41,33,33,24,21,20,24,27,23,25,32,28,25,26,68,16,15,2,35,10,16,8,3,6,11,5,7,3,3,3,9,1,5,7,1,4,6,9,9,9,12
Polemoniaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Polygonaceae,UPHE,pollen,NISP,,,,,,,1,,,1,,1,,,2,1,,2,,,,,,,,1,,,1,,,,,1,,,,2,,1,2,1,,,,,,,,,1,,1,,,,1,,,,,,,,,,
Potamogetonaceae,AQVP,pollen,NISP,,,,1,,,,,,,,,,1,,1,1,,1,,,,2,,1,,1,,,,,1,3,,,5,1,4,19,22,63,,,,,,,,,,1,,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,1,1,6,1,2,2,2,1,,1,4,2,6,1,4,3,3,4,2,1,3,3,2,2,9,1,3,2,4,2,4,4,2,2,8,2,5,1,4,8,6,2,7,14,4,8,4,5,2,5,2,2,6,2,3,4,3,1,1,5,3,1,3,1,,
Quercus,TRSH,pollen,NISP,,12,16,9,17,10,16,12,10,11,11,20,13,14,16,15,13,19,14,20,13,16,18,17,13,13,25,11,10,19,10,10,16,19,13,21,16,17,13,11,21,5,5,2,10,3,8,4,2,3,2,3,3,5,2,3,2,1,9,4,6,5,2,3,5,5,9
Ranunculaceae undiff.,UPHE,pollen,NISP,,,,,,2,,,,2,,,,,,,1,1,,,,,,,,,,,1,,,,1,,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,2,1,1,,1,2,5,1,,1,1,2,1,1,2,1,,,,4,1,3,4,1,,1,3,,1,1,,1,,,3,5,,,3,1,1,,,2,1,,1,,,1,,,3,,,,,,,1,2,,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,2,1,2,4,2,2,2,7,3,2,,4,4,1,1,,3,1,,3,2,1,2,3,2,3,4,1,1,3,1,1,3,4,4,1,3,5,5,12,36,1,,18,1,2,7,3,25,6,21,3,3,1,2,8,7,4,,5,2,13,,,,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,2,1,1,3,2,2,2,1,2,1,3,3,2,4,2,2,2,1,1,1,2,3,1,2,3,1,4,,1,1,,1,2,1,3,2,3,,3,2,3,2,1,2,1,2,1,,,1,,,1,,,2,1,2,,1,,,1,1,2,2
Saxifragaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophulariaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepherdia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Solanaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,
Sparganium,AQVP,pollen,NISP,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
Thalictrum,UPHE,pollen,NISP,,4,5,4,3,2,2,4,1,3,7,2,4,1,,,1,,3,,1,2,5,,1,3,,4,1,1,2,1,2,1,3,1,1,4,2,1,5,,1,,4,,1,,,,,1,2,,,1,,,,1,1,2,1,1,1,,1
Typha,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,2,,13,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulmus,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,7,2,4,9,6,4,2,3,2,3,7,2,6,1,3,6,2,2,4,4,3,2,2,6,4,4,1,3,2,3,4,4,3,4,2,4,,3,9,27,13,13,1,18,4,12,5,2,1,1,2,6,6,1,1,3,5,4,2,2,3,7,4,4,3,2
Unknown (monolete),UNID,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,1,
Unknown (trilete),UNID,spore,NISP,,,,,18,,,,,8,,,,,9,1,,,1,4,,,1,1,,,,1,,,,1,,,1,,,1,,1,2,,2,1,3,,1,,,2,,,,,,1,2,2,1,6,2,1,,2,,4,
Utricularia,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerianoideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1
cf. Populus,TRSH,pollen,NISP,,1,,,1,,,1,,,,1,,,1,4,,,,,1,1,1,,,,,2,1,1,,,,2,,6,,,,2,3,,,,,,,,,,,,,,,,1,,,2,,,,,,,
