"name","group","element","units","context","S21843","S21844","S21845","S21846","S21847","S21848","S21849","S21850","S21851","S21852","S21853","S21854","S21855","S21856","S21857","S21858","S21859","S21860","S21861","S21862","S21863","S21864","S21865","S21866","S21867","S21868","S21869","S21870","S21871","S21872","S21873","S21874","S21875","S21876","S21877","S21878","S21879","S21880","S21881","S21882","S21883","S21884","S21885","S21886","S21887","S21888"
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
Artemisia,UPHE,pollen,NISP,,7,16,121,183,165,129,109,202,150,94,125,125,121,102,63,128,104,89,63,59,37,56,73,40,54,31,103,102,91,24,59,76,94,55,96,44,38,66,65,67,39,47,19,19,16,40
Asteroideae undiff.,UPHE,pollen,NISP,,12,13,13,21,17,23,19,18,20,8,22,,8,28,24,10,10,18,20,18,11,13,16,12,6,9,16,25,15,7,14,14,15,17,24,11,7,18,18,13,6,13,7,9,16,25
Botryococcus,ALGA,colony,NISP,,30,66,22,5,78,6,25,17,13,6,25,3,66,53,92,5,25,3,8,129,309,26,51,84,43,8,7,5,22,3,4,44,26,34,16,1,8,3,1,2,,2,6,4,3,12
Brassicaceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,
Caryophyllaceae,UPHE,pollen,NISP,,2,2,,1,,,,,1,2,1,1,4,4,,,2,2,1,1,,1,6,1,1,,4,1,,2,,1,,,,1,,,,,,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cercocarpus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,1,,,,,,3,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Cyperaceae,UPHE,pollen,NISP,,72,35,,2,,,5,,1,3,1,2,1,1,3,4,2,6,,,,4,2,5,4,5,1,,,,2,2,1,3,1,15,3,3,4,3,,,1,,2,6
Elaeagnus/Shepherdia argentea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,,1
Equisetum,VACR,spore,NISP,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,4
Eucalyptus spike,LABO,counted,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,361,,,,,380,450,226,808,396,994
Eucalyptus suspension,LABO,concentration,grains/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315500,,315500,,,,,728500,728500,728500,728500,728500,728500
Eucalyptus suspension,LABO,quantity added,ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,1,1,1
Fabaceae,UPHE,pollen,NISP,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,3,1,
Fagus spike,LABO,counted,number,,328,,410,550,425,573,528,412,453,224,489,110,142,138,50,141,118,76,33,45,28,61,48,30,29,32,107,97,69,132,150,164,100,,144,,125,69,,,,,,,,
Fagus suspension,LABO,concentration,grains/ml,,128000,,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,128000,,128000,,128000,128000,,,,,,,,
Fagus suspension,LABO,quantity added,ml,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,5,19,3,6,4,12,3,7,7,5,8,5,6,7,5,4,1,4,3,1,1,3,,3,6,6,3,3,6,3,3,6,7,5,1,11,7,7,10,12,5,5,3,3,14,11
Juglans,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Juniperus,TRSH,pollen,NISP,,15,15,,,,,,,,,,,2,4,,2,,1,1,,,,,2,,3,,1,,6,4,3,,8,2,3,12,15,7,9,,4,6,3,4,13
Lamiaceae,UPHE,pollen,NISP,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,3,,,,,
Lewisia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium tablets,LABO,concentration,grains/tablet,,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium tablets,LABO,quantity added,number,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae sensu stricto,UPHE,pollen,NISP,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum,AQVP,pollen,NISP,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,1,,,,,,,,17,,2,,7,5,54,259,252,65
Pediastrum,ALGA,colony,NISP,,,,,,,5,1,2,,5,65,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phlox,UPHE,pollen,NISP,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,,,,3,4,4,4,9,6,12,3,9,10,1,27,22,19,19,8,23,11,17,16,10,9,13,28,22,31,27,17,35,12,10,15,5,8,13,7,3,2,7,12,4,1,2
Pinus,TRSH,pollen,NISP,,77,69,109,92,107,81,64,86,60,121,85,90,95,112,132,112,104,95,116,165,156,162,125,178,194,242,238,240,150,224,172,176,144,174,160,132,121,123,143,117,123,164,186,176,102,117
Poaceae,UPHE,pollen,NISP,,35,38,10,14,33,6,18,28,18,38,40,42,67,40,36,27,49,80,103,43,37,39,72,69,37,12,24,22,8,23,17,19,39,22,19,14,19,22,15,11,2,19,21,5,13,14
Polygonaceae,UPHE,pollen,NISP,,1,,,,1,,,,,,,1,,,,,2,,,2,,,,,,,,,1,1,,,,,,2,1,2,,2,,,,,1,
Populus,TRSH,pollen,NISP,,3,,,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,6
Potamogetonaceae,AQVP,pollen,NISP,,5,3,,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,
Potentilla,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,1,,,,
Pseudotsuga,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,2,,,1,,,,,,
Quercus,TRSH,pollen,NISP,,3,2,,,1,,,3,2,,1,4,,1,6,1,,6,4,6,3,9,1,4,4,5,4,2,3,2,,,2,4,,2,,1,,1,,,7,,1,2
Ranunculaceae,UPHE,pollen,NISP,,,,,1,4,,,2,,,2,2,,,,,2,1,,1,1,,,4,1,,1,,1,,,,,,,1,,1,,1,,1,1,,,1
Ribes,TRSH,pollen,NISP,,,,,,,,,,,,,5,1,,,,1,1,,,1,,1,,,,,,,1,,1,,,,,1,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,1,,,,,,,1,,,
Salix,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,
Sample quantity,LABO,dry mass,g,,1.5245,2.2683,3.1759,2.34,2.02,2.5289,2.8242,2.6364,2.4378,3.7178,3.3246,3.3554,3.043,2.6658,2.5352,2.9858,3.5125,3.2136,3.6205,3.0732,2.4079,2.3408,2.6938,3.0137,2.8064,2.3755,2.352,2.5666,2.4405,3.1918,2.5535,2.5043,2.7433,3.1205,2.5087,2.6494,2.0132,2.5842,,,2.3312,1.3439,2.1482,0.5278,3.0269,2.763
Sarcobatus vermiculatus,TRSH,pollen,NISP,,,1,,6,3,8,3,1,2,1,3,,3,,,2,4,5,2,1,1,2,3,2,3,,7,2,2,2,1,2,1,1,1,1,,3,3,,,,,2,2,
Typha,AQVP,pollen,NISP,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,1,,,,,1,1,,,,,6,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,19,2,1,2,,5,1,1,2,2,,1,2,5,3,,2,2,6,5,,4,1,4,3,1,2,2,1,1,1,2,2,5,,1,2,2,4,9,3,3,8,4,9,3
